Malo	Malo	AQ0MS0	malo
anda	anda	VMIP3S0	andar
el	el	DA0MS0	el
carro	carro	NCMS000	carro
y	y	CC	y
anda	anda	VMIP3S0	andar
bien	bien	RG	bien
si	si	CS	si
anda	anda	VMIP3S0	andar
a	a	SPS00	a
el	el	DA0MS0	el
gusto	gusto	NCMS000	gusto
de	de	SPS00	de
dios	Dios	NP00000	dios
	.	Fp	.
me	Me	PP1CS000	me
a	ha	VAIP3S0	haber
sobrevenido	sobrevenido	VMP0000	sobrevenir
otro	otro	DI0MS0	otro
catarro	catarro	NCMS000	catarro
y	y	CC	y
sin	sin	SPS00	sin
ganas	ganas	NCFP000	gana
de	de	SPS00	de
comer	comer	VMN0000	comer
aunq	aunque	CS	aunque
se	se	P00CN000	se
coma	coma	VMSP0S0	comer
algo	algo	PI0CS000	algo
	.	Fp	.
no	No	RN	no
tengo	tengo	VMIP1S0	tener
el	el	DA0MS0	el
susto	susto	NCMS000	susto
de	de	SPS00	de
q	que	CS	que
me	me	PP1CS000	me
a	ha	VAIP3S0	haber
cogido	cogido	VMP0000	coger
de	de	SPS00	de
repente	repente	NCMS000	repente
porq	porque	CS	porque
e	he	VAIP1S0	haber
tenido	tenido	VMP0000	tener
entendido	entendido	VMP00SM	entender
q	que	CS	que
me	me	PP1CS000	me
an	han	VAIP3P0	haber
llamado	llamado	VMP0000	llamar
y	y	CC	y
prevenido	prevenido	VMP00SM	prevenir
para	para	SPS00	para
ello	ello	PD0NN000	ello
	.	Fp	.
y	Y	CC	y
lo	lo	DA0NS0	el
q	que	PR0CN000	que
mas	más	RC	más
es	es	VSIP3S0	ser
q	que	CS	que
el	el	DA0MS0	el
sr	Señor	NP00000	señor
a	a	SPS00	a
mi	mi	DP1CSS	mi
entender	entender	VMN0000	entender
me	me	PP1CS000	me
a	ha	VAIP3S0	haber
dado	dado	VMP0000	dar
deseos	deseos	NCMP000	deseo
de	de	SPS00	de
trabajos	trabajos	NCMP000	trabajo
q	que	CS	que
no	no	RN	no
sabia	sabía	VMII0S0	saber
yo	yo	PP1CSN00	yo
a	a	SPS00	a
q	qué	PT0CN000	qué
sabia	sabía	VMII0S0	saber
	,	Fc	,
y	y	CC	y
siempre	siempre	RG	siempre
mi	mi	DP1CSS	mi
natural	natural	NCMS000	natural
temia	temía	VMII0S0	temer
y	y	CC	y
lo	lo	PP3CNA00	lo
apaciguaba	apaciguaba	VMII0S0	apaciguar
con	con	SPS00	con
q	que	CS	que
no	no	RN	no
serian	serían	VSIC3P0	ser
mas	más	RC	más
de	de	SPS00	de
los	los	DA0MP0	el
q	que	PR0CN000	que
pudiese	pudiese	VMSI0S0	poder
llebar	llevar	VMN0000	llevar
.	.	Fp	.
ayer	Ayer	RG	ayer
viernes	viernes	NCMN000	viernes
no	no	RN	no
dige	dije	VMIS1S0	decir
missa	misa	NCFS000	misa
y	y	CC	y
oy	hoy	RG	hoy
me	me	PP1CS000	me
lebanta	levanta	VMIP3S0	levantar
y	y	CC	y
me	me	PP1CS000	me
ayudo	ayudó	VMIS3S0	ayudar
mi	mi	DP1CSS	mi
querida	querida	VMP00SF	querer
sta	santa	AQ0FS0	santo
y	y	CC	y
mi	mi	DP1CSS	mi
